Demographic Data Report by State
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Tarrant County, Texas",48439,32.3,424067,"420 of 3146"
"Rutherford County, Tennessee",47149,32.2,63938,"421 of 3146"
"Gillespie County, Texas",48171,32.2,6229,"422 of 3146"
"McDonough County, Illinois",17109,32.2,5873,"423 of 3146"
"Warren County, Kentucky",21227,32.2,25141,"424 of 3146"
"Hamilton County, Tennessee",47065,32.2,81692,"425 of 3146"
"Clarke County, Virginia",51043,32.2,3332,"426 of 3146"
"Queens County, New York",36081,32.2,529260,"427 of 3146"
"Boone County, Kentucky",21015,32.1,27538,"428 of 3146"
"Stanley County, South Dakota",46117,32.1,694,"429 of 3146"
"Schenectady County, New York",36093,32.1,34238,"430 of 3146"
"Clinton County, Michigan",26037,32.1,17290,"431 of 3146"
"Yellowstone County, Montana",30111,32.1,34829,"432 of 3146"
"Rensselaer County, New York",36083,32.0,35776,"433 of 3146"
"Keweenaw County, Michigan",26083,32.0,545,"434 of 3146"
"Oklahoma County, Oklahoma",40109,32.0,164395,"435 of 3146"
"Ohio County, West Virginia",54069,32.0,9515,"436 of 3146"
"Hood River County, Oregon",41027,32.0,5038,"437 of 3146"
"Baltimore City, Maryland",24510,31.9,135188,"438 of 3146"
"Warren County, Iowa",19181,31.9,10498,"439 of 3146"
"St. Marys County, Maryland",24037,31.9,23702,"440 of 3146"
"Baldwin County, Alabama",01003,31.9,48148,"441 of 3146"
"Tulsa County, Oklahoma",40143,31.8,135181,"442 of 3146"
"Jefferson County, West Virginia",54037,31.8,12443,"443 of 3146"
"Sumter County, Florida",12119,31.8,35684,"444 of 3146"
"Henderson County, North Carolina",37089,31.8,27185,"445 of 3146"
"Scott County, Iowa",19163,31.8,37124,"446 of 3146"
"Washington County, Tennessee",47179,31.8,27842,"447 of 3146"
"Johnson County, Wyoming",56019,31.7,1926,"448 of 3146"
"Spotsylvania County, Virginia",51177,31.7,28052,"449 of 3146"
"Pinellas County, Florida",12103,31.7,235088,"450 of 3146"
"Kenton County, Kentucky",21117,31.7,35671,"451 of 3146"
"Jackson County, Missouri",29095,31.6,149739,"452 of 3146"
"Montour County, Pennsylvania",42093,31.6,4208,"453 of 3146"
"Shelby County, Tennessee",47157,31.6,193651,"454 of 3146"
"Lancaster County, Virginia",51103,31.5,2717,"455 of 3146"
"Cape Girardeau County, Missouri",29031,31.5,15892,"456 of 3146"
"Leavenworth County, Kansas",20103,31.5,17187,"457 of 3146"
"Jefferson County, Iowa",19101,31.5,4294,"458 of 3146"
"Dallas County, Texas",48113,31.5,525525,"459 of 3146"
"Pennington County, South Dakota",46103,31.5,23786,"460 of 3146"
"Erath County, Texas",48143,31.5,7625,"461 of 3146"
"Klickitat County, Washington",53039,31.5,5075,"462 of 3146"
"Washington County, Wisconsin",55131,31.5,29936,"463 of 3146"
"Park County, Montana",30067,31.5,3935,"464 of 3146"
"Harris County, Texas",48201,31.5,932169,"465 of 3146"
"Storey County, Nevada",32029,31.4,948,"466 of 3146"
"Waldo County, Maine",23027,31.4,9174,"467 of 3146"
"Harris County, Georgia",13145,31.4,7503,"468 of 3146"
"Fairbanks North Star, Alaska",02090,31.4,19402,"469 of 3146"
"Warren County, New York",36113,31.3,14993,"470 of 3146"
"Bonneville County, Idaho",16019,31.3,21686,"471 of 3146"
"Madison County, Montana",30057,31.2,2052,"472 of 3146"
"Galveston County, Texas",48167,31.1,69437,"473 of 3146"
"Okaloosa County, Florida",12091,31.1,43580,"474 of 3146"
"Bayfield County, Wisconsin",55007,31.1,3576,"475 of 3146"
"Charlevoix County, Michigan",26029,31.1,5991,"476 of 3146"
"Otsego County, New York",36077,31.1,12402,"477 of 3146"
"Adair County, Missouri",29001,31.0,4202,"478 of 3146"
"Flathead County, Montana",30029,31.0,21934,"479 of 3146"
"Garfield County, Colorado",08045,31.0,12179,"480 of 3146"
"Milwaukee County, Wisconsin",55079,31.0,195028,"481 of 3146"
"Polk County, Oregon",41053,31.0,16550,"482 of 3146"
"Sheridan County, Wyoming",56033,31.0,6632,"483 of 3146"
"Steele County, North Dakota",38091,30.9,394,"484 of 3146"
"Shawnee County, Kansas",20177,30.9,37290,"485 of 3146"
"Benton County, Washington",53005,30.9,39558,"486 of 3146"
"Marion County, Indiana",18097,30.9,193422,"487 of 3146"
"Sedgwick County, Kansas",20173,30.9,102670,"488 of 3146"
"Sacramento County, California",06067,30.9,317319,"489 of 3146"
"Washoe County, Nevada",32031,30.8,97537,"490 of 3146"
"Rutland County, Vermont",50021,30.8,13166,"491 of 3146"
"Valdez-Cordova Census Area, Alaska",02261,30.8,1998,"492 of 3146"
"Hancock County, Indiana",18059,30.8,15868,"493 of 3146"
"Dauphin County, Pennsylvania",42043,30.8,58893,"494 of 3146"
"Madison County, Kentucky",21151,30.8,17121,"495 of 3146"
"Spokane County, Washington",53063,30.8,106165,"496 of 3146"
"Hodgeman County, Kansas",20083,30.8,403,"497 of 3146"
"Dubuque County, Iowa",19061,30.8,19947,"498 of 3146"
"Tuscaloosa County, Alabama",01125,30.7,39660,"499 of 3146"
"Bremer County, Iowa",19017,30.7,5036,"500 of 3146"
"Union County, South Dakota",46127,30.6,3239,"501 of 3146"
"Clark County, Washington",53011,30.6,97952,"502 of 3146"
"Dawson County, Georgia",13085,30.6,5364,"503 of 3146"
"Peoria County, Illinois",17143,30.6,37594,"504 of 3146"
"Sioux County, Nebraska",31165,30.6,256,"505 of 3146"
"Winneshiek County, Iowa",19191,30.6,4054,"506 of 3146"
"Faulkner County, Arkansas",05045,30.6,23183,"507 of 3146"
"Stevens County, Minnesota",27149,30.5,1781,"508 of 3146"
"Jeff Davis County, Texas",48243,30.5,518,"509 of 3146"
"Anoka County, Minnesota",27003,30.5,72788,"510 of 3146"
"Shackelford County, Texas",48417,30.5,683,"511 of 3146"
"Greene County, Missouri",29077,30.5,57730,"512 of 3146"
"Sandoval County, New Mexico",35043,30.5,29839,"513 of 3146"
"Lane County, Oregon",41039,30.5,78093,"514 of 3146"
"Humboldt County, California",06023,30.4,28123,"515 of 3146"
"Carbon County, Montana",30009,30.4,2469,"516 of 3146"
"Valley County, Idaho",16085,30.4,2588,"517 of 3146"
"Lexington County, South Carolina",45063,30.4,60822,"518 of 3146"
"Jackson County, North Carolina",37099,30.4,8326,"519 of 3146"
"Nelson County, Virginia",51125,30.4,3368,"520 of 3146"
"Orange County, New York",36071,30.3,73635,"521 of 3146"
"Pratt County, Kansas",20151,30.3,1850,"522 of 3146"
"Woods County, Oklahoma",40151,30.3,1702,"523 of 3146"
"Northampton County, Pennsylvania",42095,30.3,64261,"524 of 3146"
"Warrick County, Indiana",18173,30.3,12992,"525 of 3146"
"Brown County, Wisconsin",55009,30.3,52901,"526 of 3146"
"Coweta County, Georgia",13077,30.3,28989,"527 of 3146"
"Benzie County, Michigan",26019,30.3,4020,"528 of 3146"
"Butler County, Ohio",39017,30.2,73608,"529 of 3146"
"Athens County, Ohio",39009,30.2,11167,"530 of 3146"
"Brevard County, Florida",12009,30.2,131166,"531 of 3146"
"Lubbock County, Texas",48303,30.1,54246,"532 of 3146"
"Winona County, Minnesota",27169,30.1,9440,"533 of 3146"
"Towns County, Georgia",13281,30.1,2551,"534 of 3146"
"Washington County, Pennsylvania",42125,30.0,44756,"535 of 3146"
"Duval County, Florida",12031,30.0,192175,"536 of 3146"
"Brazoria County, Texas",48039,30.0,70694,"537 of 3146"
"Ocean County, New Jersey",34029,30.0,122732,"538 of 3146"
"Washington County, Nebraska",31177,29.9,4129,"539 of 3146"
"Lehigh County, Pennsylvania",42077,29.9,74404,"540 of 3146"
"Crawford County, Kansas",20037,29.9,6950,"541 of 3146"
"Kane County, Utah",49025,29.9,1591,"542 of 3146"
"Franklin County, Kentucky",21073,29.9,10617,"543 of 3146"
"Brunswick County, North Carolina",37019,29.9,31048,"544 of 3146"
"Glynn County, Georgia",13127,29.9,17652,"545 of 3146"
"Iron County, Utah",49021,29.8,8544,"546 of 3146"
"Walla Walla County, Washington",53071,29.8,11843,"547 of 3146"
"Miami County, Kansas",20121,29.8,6766,"548 of 3146"
"Park County, Colorado",08093,29.8,4216,"549 of 3146"
"Miami-Dade County, Florida",12086,29.8,570125,"550 of 3146"
"Manatee County, Florida",12081,29.8,85483,"551 of 3146"
"Butler County, Kansas",20015,29.8,13044,"552 of 3146"
"Philadelphia County, Pennsylvania",42101,29.7,318691,"553 of 3146"
"Outagamie County, Wisconsin",55087,29.7,37272,"554 of 3146"
"Manassas City, Virginia",51683,29.6,7819,"556 of 3146"
"Montezuma County, Colorado",08083,29.6,5510,"557 of 3146"
"Floyd County, Indiana",18043,29.6,15732,"558 of 3146"
"Wright County, Minnesota",27171,29.6,25680,"559 of 3146"
"St. Joseph County, Indiana",18141,29.6,52101,"560 of 3146"
"Lake County, Montana",30047,29.6,6098,"561 of 3146"
"Nassau County, Florida",12089,29.6,18053,"562 of 3146"
"Gosper County, Nebraska",31073,29.5,465,"563 of 3146"
"Jessamine County, Kentucky",21113,29.5,10260,"564 of 3146"
"Chattahoochee County, Georgia",13053,29.5,1510,"565 of 3146"
"Suffolk City, Virginia",51800,29.5,17973,"566 of 3146"
"Calumet County, Wisconsin",55015,29.4,10027,"567 of 3146"
"Douglas County, Nevada",32005,29.4,10918,"568 of 3146"
"Brown County, South Dakota",46013,29.4,7563,"569 of 3146"
"Barnes County, North Dakota",38003,29.4,2249,"570 of 3146"
"Hawaii County, Hawaii",15001,29.4,41656,"571 of 3146"
"St. Louis County, Minnesota",27137,29.3,39946,"572 of 3146"
"Ward County, North Dakota",38101,29.3,12756,"573 of 3146"
"Meagher County, Montana",30059,29.3,391,"574 of 3146"
"Powhatan County, Virginia",51145,29.2,6228,"575 of 3146"
"Beltrami County, Minnesota",27007,29.2,8332,"576 of 3146"
"Bedford City and County, Virginia",51917,29.2,16558,"577 of 3146"
"Kauai County, Hawaii",15007,29.2,14909,"578 of 3146"
"Pierce County, Wisconsin",55093,29.2,7690,"579 of 3146"
"Phelps County, Missouri",29161,29.1,8090,"580 of 3146"
"Indian River County, Florida",12061,29.1,34512,"581 of 3146"
"Westmoreland County, Pennsylvania",42129,29.1,75789,"582 of 3146"
"Black Hawk County, Iowa",19013,29.1,24360,"583 of 3146"
"Sioux County, Iowa",19167,29.1,6030,"584 of 3146"
"Polk County, North Carolina",37149,29.1,4621,"585 of 3146"
"Vilas County, Wisconsin",55125,29.1,4963,"586 of 3146"
"Orange County, Vermont",50017,29.1,6169,"587 of 3146"
"Carteret County, North Carolina",37031,29.1,15182,"588 of 3146"
"Isabella County, Michigan",26073,29.1,11268,"589 of 3146"
"Fergus County, Montana",30027,29.1,2380,"590 of 3146"
"Rankin County, Mississippi",28121,29.0,30489,"591 of 3146"
"Worcester County, Maryland",24047,29.0,11440,"592 of 3146"
"Greene County, Virginia",51079,29.0,3935,"593 of 3146"
"Caledonia County, Vermont",50005,29.0,6257,"594 of 3146"
"Hinds County, Mississippi",28049,29.0,44555,"595 of 3146"
"Portage County, Ohio",39133,29.0,30540,"596 of 3146"
"Providence County, Rhode Island",44007,29.0,125948,"597 of 3146"
"Charles County, Maryland",24017,28.9,30913,"598 of 3146"
"Traill County, North Dakota",38097,28.9,1575,"599 of 3146"
"Granite County, Montana",30039,28.9,710,"600 of 3146"
"Cheyenne County, Kansas",20023,28.9,552,"601 of 3146"
"Brown County, Indiana",18013,28.9,3303,"602 of 3146"
"Seward County, Nebraska",31159,28.9,3137,"603 of 3146"
"Northumberland County, Virginia",51133,28.9,2833,"604 of 3146"
"Johnson County, Missouri",29101,28.9,9102,"605 of 3146"
"Antrim County, Michigan",26009,28.8,5035,"606 of 3146"
"McMullen County, Texas",48311,28.8,143,"607 of 3146"
"Norfolk City, Virginia",51710,28.8,44060,"608 of 3146"
"Mono County, California",06051,28.8,2861,"609 of 3146"
"Grant County, New Mexico",35017,28.8,5748,"610 of 3146"
"Lake County, Minnesota",27075,28.8,2335,"611 of 3146"
"Marion County, Iowa",19125,28.8,6329,"612 of 3146"
"Walworth County, Wisconsin",55127,28.8,19601,"613 of 3146"
"Dickey County, North Dakota",38021,28.8,956,"614 of 3146"
"Taos County, New Mexico",35055,28.7,6987,"615 of 3146"
"Bristol County, Massachusetts",25005,28.7,112574,"616 of 3146"
"Grand County, Utah",49019,28.6,1979,"617 of 3146"
"Christian County, Missouri",29043,28.6,16397,"618 of 3146"
"Clermont County, Ohio",39025,28.6,40289,"619 of 3146"
"Piatt County, Illinois",17147,28.6,3310,"620 of 3146"
"Nodaway County, Missouri",29147,28.6,3562,"621 of 3146"
"Walton County, Florida",12131,28.5,14275,"622 of 3146"
"Madison County, North Carolina",37115,28.5,4371,"623 of 3146"
"Laramie County, Wyoming",56021,28.5,18992,"624 of 3146"
"Calloway County, Kentucky",21035,28.5,6885,"625 of 3146"
"Allen County, Indiana",18003,28.5,69013,"626 of 3146"
"Washington County, Oklahoma",40147,28.5,10099,"627 of 3146"
"Montgomery County, Tennessee",47125,28.5,35272,"628 of 3146"
"Henry County, Georgia",13151,28.5,41430,"629 of 3146"
"Carson County, Texas",48065,28.4,1171,"630 of 3146"
"Porter County, Indiana",18127,28.4,32880,"631 of 3146"
"Iredell County, North Carolina",37097,28.4,34306,"632 of 3146"
"York County, Nebraska",31185,28.4,2645,"633 of 3146"
"Scott County, Kentucky",21209,28.4,10104,"635 of 3146"
"Broome County, New York",36007,28.4,36345,"636 of 3146"
"Winnebago County, Wisconsin",55139,28.3,32554,"637 of 3146"
"Chouteau County, Montana",30015,28.3,1113,"638 of 3146"
"Botetourt County, Virginia",51023,28.3,6943,"639 of 3146"
"Houston County, Georgia",13153,28.3,28448,"640 of 3146"
"Lackawanna County, Pennsylvania",42069,28.3,42164,"641 of 3146"
"Rice County, Minnesota",27131,28.3,11840,"642 of 3146"
"Sussex County, Delaware",10005,28.3,47481,"643 of 3146"
"Pulaski County, Missouri",29169,28.3,8177,"644 of 3146"
"Frederick County, Virginia",51069,28.3,16864,"645 of 3146"
"Lee County, Florida",12071,28.2,156706,"646 of 3146"
"Pontotoc County, Oklahoma",40123,28.2,7029,"647 of 3146"
"Mesa County, Colorado",08077,28.2,29392,"648 of 3146"
"Dorchester County, South Carolina",45035,28.2,29978,"649 of 3146"
"Guadalupe County, Texas",48187,28.2,29451,"650 of 3146"
"Douglas County, Georgia",13097,28.2,26093,"651 of 3146"
"Passaic County, New Jersey",34031,28.2,94039,"652 of 3146"
"Atlantic County, New Jersey",34001,28.1,51949,"653 of 3146"
"Sullivan County, New Hampshire",33019,28.1,8994,"654 of 3146"
"Perkins County, Nebraska",31135,28.1,563,"655 of 3146"
"Sumner County, Tennessee",47165,28.1,35287,"656 of 3146"
"Kiowa County, Kansas",20097,28.1,454,"657 of 3146"
"Washington County, Utah",49053,28.1,29980,"658 of 3146"
"Kennebec County, Maine",23011,28.1,24649,"659 of 3146"
"Campbell County, South Dakota",46021,28.0,312,"660 of 3146"
"Bexar County, Texas",48029,28.0,349451,"661 of 3146"
"St. Clair County, Illinois",17163,28.0,49954,"662 of 3146"
"Kodiak Island Borough, Alaska",02150,28.0,2501,"663 of 3146"
"McPherson County, Kansas",20113,28.0,5435,"664 of 3146"
"Cortland County, New York",36023,28.0,8419,"665 of 3146"
"Pender County, North Carolina",37141,27.9,11884,"666 of 3146"
"Salem City, Virginia",51775,27.9,4775,"667 of 3146"
"Grundy County, Iowa",19075,27.9,2407,"668 of 3146"
"Dunn County, Wisconsin",55033,27.9,7612,"669 of 3146"
"Erie County, Pennsylvania",42049,27.9,52303,"670 of 3146"
"Montgomery County, Ohio",39113,27.9,101639,"671 of 3146"
"Mathews County, Virginia",51115,27.9,1929,"672 of 3146"
"Manassas Park City, Virginia",51685,27.9,3093,"673 of 3146"
"Jackson County, Oregon",41029,27.8,43162,"674 of 3146"
"Bannock County, Idaho",16005,27.8,15104,"675 of 3146"
"Ravalli County, Montana",30081,27.8,8777,"676 of 3146"
"Nemaha County, Nebraska",31127,27.8,1276,"677 of 3146"
"Berrien County, Michigan",26021,27.8,29919,"678 of 3146"
"Forrest County, Mississippi",28035,27.8,13001,"679 of 3146"
"Eaton County, Michigan",26045,27.8,21311,"680 of 3146"
"Santa Rosa County, Florida",12113,27.7,33892,"681 of 3146"
"Logan County, Oklahoma",40083,27.7,8529,"682 of 3146"
"Penobscot County, Maine",23019,27.7,29900,"683 of 3146"
"Cass County, Nebraska",31025,27.7,4916,"684 of 3146"
"Mason County, Texas",48319,27.6,791,"685 of 3146"
"Fairfield County, Ohio",39045,27.6,28745,"686 of 3146"
"Weld County, Colorado",08123,27.5,54106,"687 of 3146"
"Lyon County, Kansas",20111,27.5,5469,"688 of 3146"
"Stearns County, Minnesota",27145,27.5,26904,"689 of 3146"
"Clallam County, Washington",53009,27.4,15810,"690 of 3146"
"Canadian County, Oklahoma",40017,27.4,25471,"691 of 3146"
"Lake County, Ohio",39085,27.4,45339,"692 of 3146"
"Midland County, Texas",48329,27.4,28785,"693 of 3146"
"Hubbard County, Minnesota",27057,27.4,4189,"694 of 3146"
"Kerr County, Texas",48265,27.4,10289,"695 of 3146"
"Saline County, Kansas",20169,27.3,10141,"696 of 3146"
"Georgetown County, South Carolina",45043,27.3,12553,"697 of 3146"
"Lancaster County, Pennsylvania",42071,27.3,99271,"698 of 3146"
"Silver Bow County, Montana",30093,27.2,6464,"699 of 3146"
"Wicomico County, Maryland",24045,27.2,17576,"700 of 3146"
"Butte County, California",06007,27.2,40149,"701 of 3146"
"Meade County, South Dakota",46093,27.2,4971,"702 of 3146"
"Oneida County, Wisconsin",55085,27.2,7375,"703 of 3146"
"Maui County, Hawaii",15009,27.2,32119,"704 of 3146"
"Glasscock County, Texas",48173,27.2,241,"705 of 3146"
"Inyo County, California",06027,27.2,3587,"706 of 3146"
"Greeley County, Kansas",20071,27.2,220,"707 of 3146"
"Pierce County, Washington",53053,27.2,160025,"708 of 3146"
"Boise County, Idaho",16015,27.1,1560,"709 of 3146"
"Dona Ana County, New Mexico",35013,27.1,35542,"710 of 3146"
"Hampden County, Massachusetts",25013,27.1,86136,"711 of 3146"
"Waynesboro City, Virginia",51820,27.1,4159,"712 of 3146"
"Brule County, South Dakota",46015,27.1,968,"713 of 3146"
"Hancock County, Ohio",39063,27.1,14056,"714 of 3146"
"Broadwater County, Montana",30007,27.1,1160,"715 of 3146"
"Isle of Wight County, Virginia",51093,27.0,7107,"716 of 3146"
"Vanderburgh County, Indiana",18163,27.0,33511,"717 of 3146"
"Bulloch County, Georgia",13031,27.0,11472,"718 of 3146"
"Solano County, California",06095,26.9,81736,"719 of 3146"
"Faulk County, South Dakota",46049,26.9,449,"720 of 3146"
"Hampton City, Virginia",51650,26.9,24346,"721 of 3146"
"New Kent County, Virginia",51127,26.9,4218,"722 of 3146"
"Lancaster County, South Carolina",45057,26.9,17730,"723 of 3146"
"Golden Valley County, North Dakota",38033,26.9,346,"724 of 3146"
"Morton County, North Dakota",38059,26.9,5883,"725 of 3146"
"Yamhill County, Oregon",41071,26.9,18942,"726 of 3146"
"Greene County, Georgia",13133,26.9,3454,"727 of 3146"
"Jefferson Parish, Louisiana",22051,26.8,82018,"728 of 3146"
"Madison County, Illinois",17119,26.8,49613,"729 of 3146"
"Grant County, Nebraska",31075,26.8,125,"730 of 3146"
"Pike County, Pennsylvania",42103,26.8,11014,"731 of 3146"
"Monroe County, Georgia",13207,26.8,5109,"732 of 3146"
"Essex County, New York",36031,26.8,7683,"733 of 3146"
"Prince Edward County, Virginia",51147,26.8,3489,"734 of 3146"
"Washington County, Texas",48477,26.8,6284,"735 of 3146"
"Foster County, North Dakota",38031,26.7,620,"736 of 3146"
"Saline County, Arkansas",05125,26.7,22073,"737 of 3146"
"Kearney County, Nebraska",31099,26.7,1179,"738 of 3146"
"Clay County, Kansas",20027,26.7,1505,"739 of 3146"
"Rockbridge County, Virginia",51163,26.7,4537,"740 of 3146"
"Clark County, Arkansas",05019,26.6,3508,"741 of 3146"
"Franklin County, Texas",48159,26.6,1938,"742 of 3146"
"Sherburne County, Minnesota",27141,26.6,16382,"743 of 3146"
"Autauga County, Alabama",01001,26.6,9929,"744 of 3146"
"Judith Basin County, Montana",30045,26.6,394,"745 of 3146"
"Escambia County, Florida",12033,26.5,56000,"746 of 3146"
"Davison County, South Dakota",46035,26.5,3586,"747 of 3146"
"Blanco County, Texas",48031,26.5,2290,"748 of 3146"
"Livingston County, New York",36051,26.5,11289,"749 of 3146"
"Wallowa County, Oregon",41063,26.4,1451,"750 of 3146"
"Ascension Parish, Louisiana",22005,26.4,21099,"751 of 3146"
"Loudon County, Tennessee",47105,26.4,10126,"752 of 3146"
"Putnam County, Tennessee",47141,26.4,13251,"753 of 3146"
"Smith County, Texas",48423,26.4,39346,"754 of 3146"
"Hooker County, Nebraska",31091,26.4,135,"755 of 3146"
"Aiken County, South Carolina",45003,26.4,31189,"756 of 3146"
"Somervell County, Texas",48425,26.4,1650,"757 of 3146"
"Parker County, Texas",48367,26.4,23710,"758 of 3146"
"Hood County, Texas",48221,26.4,11109,"759 of 3146"
"Lumpkin County, Georgia",13187,26.4,5390,"760 of 3146"
"Ramsey County, North Dakota",38071,26.4,2078,"761 of 3146"
"Rockingham County, Virginia",51165,26.3,14475,"762 of 3146"
"Cass County, Missouri",29037,26.3,18573,"763 of 3146"
"Billings County, North Dakota",38007,26.3,186,"764 of 3146"
"Rockdale County, Georgia",13247,26.3,15542,"765 of 3146"
"Cherokee County, Oklahoma",40021,26.3,8006,"766 of 3146"
"Tazewell County, Illinois",17179,26.3,24535,"767 of 3146"
"Newport News City, Virginia",51700,26.3,30596,"768 of 3146"
"Lucas County, Ohio",39095,26.3,76827,"769 of 3146"
"Edmunds County, South Dakota",46045,26.3,698,"770 of 3146"
"Skagit County, Washington",53057,26.2,23147,"771 of 3146"
"Eddy County, North Dakota",38027,26.2,435,"772 of 3146"
