Demographic Data Report by State
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Frontier County, Nebraska",31063,18.9,478,"769 of 3146"
"Lake County, South Dakota",46079,18.9,2267,"768 of 3146"
"Florence County, Wisconsin",55037,18.9,804,"767 of 3146"
"Lapeer County, Michigan",26087,18.9,16290,"766 of 3146"
"Dolores County, Colorado",08033,18.8,350,"765 of 3146"
"Mono County, California",06051,18.8,2674,"764 of 3146"
"Blanco County, Texas",48031,18.8,2122,"763 of 3146"
"Effingham County, Illinois",17049,18.8,6327,"762 of 3146"
"Carroll County, Indiana",18015,18.8,3739,"761 of 3146"
"Hooker County, Nebraska",31091,18.8,124,"760 of 3146"
"Sutton County, Texas",48435,18.8,716,"759 of 3146"
"Nevada County, California",06057,18.8,18460,"758 of 3146"
"Yakutat City and Borough, Alaska",02282,18.8,122,"757 of 3146"
"Boone County, Nebraska",31011,18.8,972,"756 of 3146"
"Page County, Iowa",19145,18.8,2658,"755 of 3146"
"Benzie County, Michigan",26019,18.8,3272,"754 of 3146"
"Knox County, Nebraska",31107,18.8,1544,"753 of 3146"
"Loudon County, Tennessee",47105,18.8,9735,"752 of 3146"
"Osceola County, Iowa",19143,18.8,1115,"751 of 3146"
"Genesee County, New York",36037,18.7,10672,"750 of 3146"
"Hardin County, Iowa",19083,18.7,3039,"749 of 3146"
"Sussex County, Delaware",10005,18.7,41375,"748 of 3146"
"New Haven County, Connecticut",09009,18.7,155821,"747 of 3146"
"Pickaway County, Ohio",39129,18.7,9934,"746 of 3146"
"Albany County, New York",36001,18.7,54508,"745 of 3146"
"Harlan County, Nebraska",31083,18.7,630,"744 of 3146"
"Franklin County, Kansas",20059,18.7,4643,"743 of 3146"
"Chase County, Nebraska",31029,18.7,694,"742 of 3146"
"Red Lake County, Minnesota",27125,18.7,744,"741 of 3146"
"Moody County, South Dakota",46101,18.7,1188,"740 of 3146"
"Mineral County, Colorado",08079,18.7,154,"739 of 3146"
"Emmet County, Michigan",26047,18.7,6101,"738 of 3146"
"Nelson County, North Dakota",38063,18.7,527,"737 of 3146"
"Emmons County, North Dakota",38029,18.7,608,"736 of 3146"
"Morrison County, Minnesota",27097,18.7,6085,"735 of 3146"
"Kittson County, Minnesota",27069,18.7,775,"734 of 3146"
"Lincoln County, Minnesota",27081,18.7,1026,"733 of 3146"
"Harrison County, Iowa",19085,18.7,2574,"732 of 3146"
"Box Elder County, Utah",49003,18.7,9992,"731 of 3146"
"Blaine County, Idaho",16013,18.7,4166,"730 of 3146"
"Louisa County, Iowa",19115,18.6,2058,"729 of 3146"
"Washington County, Iowa",19183,18.6,4045,"728 of 3146"
"Lebanon County, Pennsylvania",42075,18.6,25347,"727 of 3146"
"Plumas County, California",06063,18.6,3412,"726 of 3146"
"Brown County, Indiana",18013,18.6,2765,"725 of 3146"
"Warren County, Indiana",18171,18.6,1499,"724 of 3146"
"Bristol County, Massachusetts",25005,18.6,101571,"723 of 3146"
"Moniteau County, Missouri",29135,18.6,2725,"722 of 3146"
"Catoosa County, Georgia",13047,18.6,12261,"721 of 3146"
"San Luis Obispo County, California",06079,18.6,49448,"720 of 3146"
"White County, Georgia",13311,18.6,5402,"719 of 3146"
"Williams County, Ohio",39171,18.6,6599,"718 of 3146"
"Pickens County, Georgia",13227,18.6,5784,"717 of 3146"
"Wagoner County, Oklahoma",40145,18.6,14561,"716 of 3146"
"Utah County, Utah",49049,18.6,109692,"715 of 3146"
"Middlesex County, Virginia",51119,18.6,1914,"714 of 3146"
"Winnebago County, Wisconsin",55139,18.6,30141,"713 of 3146"
"Berkshire County, Massachusetts",25003,18.5,22255,"712 of 3146"
"Yellowstone County, Montana",30111,18.5,28775,"711 of 3146"
"Broadwater County, Montana",30007,18.5,1093,"710 of 3146"
"Otoe County, Nebraska",31131,18.5,2897,"709 of 3146"
"Mountrail County, North Dakota",38061,18.5,1901,"708 of 3146"
"Benton County, Minnesota",27009,18.5,7306,"707 of 3146"
"Orange County, New York",36071,18.5,68580,"706 of 3146"
"Pennington County, Minnesota",27113,18.5,2585,"705 of 3146"
"Ellsworth County, Kansas",20053,18.5,983,"704 of 3146"
"Noble County, Oklahoma",40103,18.5,2065,"703 of 3146"
"Kenton County, Kentucky",21117,18.5,30160,"702 of 3146"
"Scott County, Kentucky",21209,18.5,9787,"701 of 3146"
"Meade County, South Dakota",46093,18.4,4962,"700 of 3146"
"Maury County, Tennessee",47119,18.4,16728,"699 of 3146"
"Sully County, South Dakota",46119,18.4,239,"698 of 3146"
"Schenectady County, New York",36093,18.4,27812,"697 of 3146"
"Baldwin County, Alabama",01003,18.4,38644,"696 of 3146"
"Essex County, New York",36031,18.4,6413,"695 of 3146"
"Cerro Gordo County, Iowa",19033,18.4,7723,"694 of 3146"
"Hampshire County, Massachusetts",25015,18.4,25458,"693 of 3146"
"Morrow County, Ohio",39117,18.4,6386,"691 of 3146"
"Sheridan County, Montana",30091,18.4,633,"691 of 3146"
"Allegheny County, Pennsylvania",42003,18.4,219080,"690 of 3146"
"Licking County, Ohio",39089,18.4,31156,"689 of 3146"
"Camden County, North Carolina",37029,18.4,1942,"688 of 3146"
"Chambers County, Texas",48071,18.4,7540,"687 of 3146"
"Martin County, Florida",12085,18.4,28669,"686 of 3146"
"Benton County, Arkansas",05007,18.4,48238,"685 of 3146"
"Ramsey County, North Dakota",38071,18.4,2045,"684 of 3146"
"Allegan County, Michigan",26005,18.4,21096,"683 of 3146"
"Beaufort County, South Carolina",45013,18.4,33272,"682 of 3146"
"Pershing County, Nevada",32027,18.4,867,"681 of 3146"
"Edgar County, Illinois",17045,18.3,3139,"680 of 3146"
"St. Tammany Parish, Louisiana",22103,18.3,46330,"679 of 3146"
"Chippewa County, Wisconsin",55017,18.3,11205,"678 of 3146"
"Harvey County, Kansas",20079,18.3,6072,"677 of 3146"
"West Feliciana Parish, Louisiana",22125,18.3,2219,"676 of 3146"
"Marshall County, Illinois",17123,18.3,2067,"675 of 3146"
"Madison County, New York",36053,18.3,12104,"674 of 3146"
"Pepin County, Wisconsin",55091,18.3,1313,"673 of 3146"
"Gasconade County, Missouri",29073,18.3,2642,"672 of 3146"
"Midland County, Michigan",26111,18.3,15011,"671 of 3146"
"Cheatham County, Tennessee",47021,18.3,7252,"670 of 3146"
"Poweshiek County, Iowa",19157,18.3,3048,"669 of 3146"
"Hancock County, Maine",23009,18.3,9709,"668 of 3146"
"Callaway County, Missouri",29027,18.3,7449,"667 of 3146"
"Bland County, Virginia",51021,18.3,1001,"666 of 3146"
"Macomb County, Michigan",26099,18.3,157300,"665 of 3146"
"Ray County, Missouri",29177,18.2,4117,"664 of 3146"
"Seminole County, Florida",12117,18.2,83403,"663 of 3146"
"Orange County, Vermont",50017,18.2,5165,"662 of 3146"
"Champaign County, Ohio",39021,18.2,6909,"661 of 3146"
"Chittenden County, Vermont",50007,18.2,27856,"660 of 3146"
"Lincoln County, Nebraska",31111,18.2,6248,"659 of 3146"
"Irion County, Texas",48235,18.2,295,"658 of 3146"
"Golden Valley County, North Dakota",38033,18.2,325,"657 of 3146"
"Mitchell County, Iowa",19131,18.2,1882,"656 of 3146"
"DeKalb County, Indiana",18033,18.2,7719,"655 of 3146"
"San Juan County, Colorado",08111,18.2,107,"654 of 3146"
"Pawnee County, Kansas",20145,18.2,1007,"653 of 3146"
"Davis County, Iowa",19051,18.2,1595,"652 of 3146"
"Kosciusko County, Indiana",18085,18.2,14019,"651 of 3146"
"Andrews County, Texas",48003,18.1,3252,"650 of 3146"
"Greene County, Ohio",39057,18.1,28541,"649 of 3146"
"Meade County, Kansas",20119,18.1,735,"648 of 3146"
"Union County, Pennsylvania",42119,18.1,6532,"647 of 3146"
"Audubon County, Iowa",19009,18.1,982,"646 of 3146"
"Gibson County, Indiana",18051,18.1,5939,"645 of 3146"
"Sherman County, Kansas",20181,18.1,1038,"644 of 3146"
"Lee County, Georgia",13177,18.1,5148,"643 of 3146"
"Franklin County, Idaho",16041,18.1,2428,"642 of 3146"
"LaGrange County, Indiana",18087,18.1,7021,"641 of 3146"
"Rutherford County, Tennessee",47149,18.1,56082,"640 of 3146"
"Calaveras County, California",06009,18.1,8142,"639 of 3146"
"Perry County, Pennsylvania",42099,18.1,8208,"638 of 3146"
"Cheyenne County, Colorado",08017,18.1,358,"637 of 3146"
"Archuleta County, Colorado",08007,18.1,2374,"636 of 3146"
"Wyoming County, Pennsylvania",42131,18.1,4787,"635 of 3146"
"Waupaca County, Wisconsin",55135,18.0,8954,"634 of 3146"
"Clay County, Texas",48077,18.0,1856,"633 of 3146"
"Griggs County, North Dakota",38039,18.0,417,"632 of 3146"
"Cabarrus County, North Carolina",37025,18.0,36924,"631 of 3146"
"Chaffee County, Colorado",08015,18.0,3283,"630 of 3146"
"Boyd County, Nebraska",31015,18.0,342,"629 of 3146"
"Cole County, Missouri",29051,18.0,12893,"628 of 3146"
"Mercer County, New Jersey",34021,18.0,63239,"627 of 3146"
"El Paso County, Colorado",08041,18.0,122157,"626 of 3146"
"Spencer County, Indiana",18147,18.0,3615,"625 of 3146"
"Grand County, Colorado",08049,18.0,2733,"624 of 3146"
"Rensselaer County, New York",36083,18.0,27546,"623 of 3146"
"Barnes County, North Dakota",38003,17.9,1827,"622 of 3146"
"Renville County, Minnesota",27129,17.9,2553,"621 of 3146"
"Amador County, California",06005,17.9,6222,"620 of 3146"
"Jackson County, Colorado",08057,17.9,225,"619 of 3146"
"Gallatin County, Montana",30031,17.9,18686,"618 of 3146"
"Franklin County, Indiana",18047,17.9,4066,"617 of 3146"
"Monroe County, Michigan",26115,17.9,26567,"616 of 3146"
"Oldham County, Texas",48359,17.9,299,"615 of 3146"
"Orange County, California",06059,17.9,560719,"614 of 3146"
"San Miguel County, Colorado",08113,17.9,1436,"613 of 3146"
"Henry County, Illinois",17073,17.9,8666,"612 of 3146"
"Deschutes County, Oregon",41017,17.9,33125,"611 of 3146"
"Weld County, Colorado",08123,17.9,53328,"610 of 3146"
"Butler County, Kansas",20015,17.9,11353,"609 of 3146"
"Fillmore County, Minnesota",27045,17.9,3662,"608 of 3146"
"Hutchinson County, South Dakota",46067,17.9,1260,"607 of 3146"
"Logan County, Illinois",17107,17.9,4462,"606 of 3146"
"Miami County, Ohio",39109,17.8,18568,"605 of 3146"
"Valley County, Nebraska",31175,17.8,735,"604 of 3146"
"Calhoun County, Illinois",17013,17.8,842,"603 of 3146"
"McPherson County, Kansas",20113,17.8,4843,"602 of 3146"
"Winnebago County, Iowa",19189,17.8,1757,"601 of 3146"
"Franklin County, Missouri",29071,17.8,18113,"600 of 3146"
"Boone County, Iowa",19015,17.8,4612,"599 of 3146"
"York County, South Carolina",45091,17.8,46488,"598 of 3146"
"Hamilton County, Iowa",19079,17.8,2633,"597 of 3146"
"Larimer County, Colorado",08069,17.8,59571,"596 of 3146"
"Grand County, Utah",49019,17.8,1685,"595 of 3146"
"Deuel County, Nebraska",31049,17.8,322,"594 of 3146"
"Sac County, Iowa",19161,17.8,1704,"593 of 3146"
"Cape May County, New Jersey",34009,17.8,16163,"592 of 3146"
"Ottawa County, Ohio",39123,17.8,7113,"591 of 3146"
"Johnson County, Nebraska",31097,17.8,730,"590 of 3146"
"Polk County, Iowa",19153,17.8,83638,"589 of 3146"
"Ogle County, Illinois",17141,17.8,8913,"588 of 3146"
"Franklin County, Massachusetts",25011,17.7,12310,"587 of 3146"
"Mathews County, Virginia",51115,17.7,1543,"586 of 3146"
"Lewis and Clark County, Montana",30049,17.7,11736,"585 of 3146"
"Hughes County, South Dakota",46065,17.7,2923,"584 of 3146"
"San Benito County, California",06069,17.7,10641,"583 of 3146"
"Campbell County, Wyoming",56005,17.7,8268,"582 of 3146"
"Walworth County, Wisconsin",55127,17.7,17747,"581 of 3146"
"Elk County, Pennsylvania",42047,17.7,5297,"580 of 3146"
"Dawson County, Montana",30021,17.7,1502,"579 of 3146"
"Greeley County, Kansas",20071,17.7,204,"578 of 3146"
"McLeod County, Minnesota",27085,17.7,6264,"577 of 3146"
"Windham County, Connecticut",09015,17.7,19637,"576 of 3146"
"Dubuque County, Iowa",19061,17.6,16457,"575 of 3146"
"Knox County, Maine",23013,17.6,6733,"574 of 3146"
"Hancock County, Iowa",19081,17.6,1870,"573 of 3146"
"Manitowoc County, Wisconsin",55071,17.6,13796,"572 of 3146"
"Wells County, Indiana",18179,17.6,4822,"571 of 3146"
"Hood County, Texas",48221,17.6,10154,"570 of 3146"
"Putnam County, Indiana",18133,17.6,5619,"569 of 3146"
"Shelby County, Ohio",39149,17.6,8450,"568 of 3146"
"Franklin County, Pennsylvania",42055,17.6,26669,"567 of 3146"
"Rutland County, Vermont",50021,17.5,9961,"566 of 3146"
"Carroll County, Illinois",17015,17.5,2467,"565 of 3146"
"Windsor County, Vermont",50027,17.5,9526,"564 of 3146"
"Wahkiakum County, Washington",53069,17.5,739,"563 of 3146"
"Hartford County, Connecticut",09003,17.5,152584,"562 of 3146"
"Richmond County, New York",36085,17.5,81982,"561 of 3146"
"Steuben County, Indiana",18151,17.5,5738,"560 of 3146"
"Cuming County, Nebraska",31039,17.5,1534,"559 of 3146"
"Holmes County, Ohio",39075,17.5,7518,"558 of 3146"
"Garden County, Nebraska",31069,17.5,319,"557 of 3146"
"Minnehaha County, South Dakota",46099,17.5,31985,"556 of 3146"
"Scott County, Kansas",20171,17.5,843,"555 of 3146"
"Tipton County, Indiana",18159,17.5,2597,"554 of 3146"
"Hancock County, Ohio",39063,17.4,12838,"553 of 3146"
"Thurston County, Washington",53067,17.4,48110,"552 of 3146"
"Sauk County, Wisconsin",55111,17.4,10957,"551 of 3146"
"Buffalo County, Wisconsin",55011,17.4,2268,"550 of 3146"
"Putnam County, West Virginia",54079,17.4,9760,"549 of 3146"
"Defiance County, Ohio",39039,17.4,6514,"548 of 3146"
"Noble County, Indiana",18113,17.4,8070,"546 of 3146"
"Slope County, North Dakota",38087,17.4,129,"545 of 3146"
"Banner County, Nebraska",31007,17.4,125,"544 of 3146"
"St. Charles Parish, Louisiana",22089,17.4,9047,"543 of 3146"
"Howard County, Iowa",19089,17.4,1563,"542 of 3146"
"Guthrie County, Iowa",19077,17.4,1828,"541 of 3146"
"Grafton County, New Hampshire",33009,17.4,14440,"540 of 3146"
"Rice County, Minnesota",27131,17.3,10041,"539 of 3146"
"Inyo County, California",06027,17.3,3045,"538 of 3146"
"Cheyenne County, Nebraska",31033,17.3,1642,"537 of 3146"
"Paulding County, Ohio",39125,17.3,3234,"536 of 3146"
"Jasper County, Iowa",19099,17.3,6105,"535 of 3146"
"Jackson County, Minnesota",27063,17.3,1691,"534 of 3146"
"New Castle County, Delaware",10003,17.3,93215,"533 of 3146"
"Polk County, Wisconsin",55095,17.3,7399,"532 of 3146"
"Lancaster County, Pennsylvania",42071,17.2,91149,"531 of 3146"
"Dare County, North Carolina",37055,17.2,6199,"530 of 3146"
"Madison County, Mississippi",28089,17.2,17716,"529 of 3146"
"Union County, New Jersey",34039,17.2,94293,"528 of 3146"
"Alfalfa County, Oklahoma",40003,17.2,816,"525 of 3146"
"Brown County, Wisconsin",55009,17.2,43739,"525 of 3146"
"Weber County, Utah",49057,17.2,42783,"525 of 3146"
"Butler County, Iowa",19023,17.2,2469,"524 of 3146"
"Bryan County, Georgia",13029,17.2,6327,"523 of 3146"
"Lincoln County, Wyoming",56023,17.2,3287,"522 of 3146"
"Blaine County, Nebraska",31009,17.2,82,"521 of 3146"
"Ocean County, New Jersey",34029,17.2,101119,"520 of 3146"
"Cecil County, Maryland",24015,17.2,17373,"519 of 3146"
"Custer County, Colorado",08027,17.1,811,"518 of 3146"
"Grand Traverse County, Michigan",26055,17.1,15462,"517 of 3146"
"Preble County, Ohio",39135,17.1,6927,"516 of 3146"
"Steele County, Minnesota",27147,17.1,6196,"515 of 3146"
"Andrew County, Missouri",29003,17.1,2953,"514 of 3146"
"Valley County, Idaho",16085,17.1,1811,"513 of 3146"
"Garfield County, Nebraska",31071,17.1,331,"512 of 3146"
"Morgan County, Indiana",18109,17.1,11719,"511 of 3146"
"North Slope Borough, Alaska",02185,17.1,1656,"510 of 3146"
"Amelia County, Virginia",51007,17.1,2198,"509 of 3146"
"Cass County, North Dakota",38017,17.1,29444,"508 of 3146"
"Rockingham County, Virginia",51165,17.1,13384,"507 of 3146"
"Rogers County, Oklahoma",40131,17.1,15314,"506 of 3146"
"Otter Tail County, Minnesota",27111,17.0,9737,"505 of 3146"
"Clay County, Kansas",20027,17.0,1351,"504 of 3146"
"Marion County, Kansas",20115,17.0,1902,"503 of 3146"
"Thayer County, Nebraska",31169,17.0,830,"502 of 3146"
"Dearborn County, Indiana",18029,17.0,8288,"501 of 3146"
"Rankin County, Mississippi",28121,17.0,25038,"500 of 3146"
"Boulder County, Colorado",08013,17.0,52812,"499 of 3146"
"Linn County, Iowa",19113,17.0,37085,"498 of 3146"
"Lincoln County, Wisconsin",55069,17.0,4587,"497 of 3146"
"Grant County, Oklahoma",40053,17.0,723,"496 of 3146"
"Marshall County, South Dakota",46091,17.0,812,"495 of 3146"
"Moultrie County, Illinois",17139,17.0,2435,"494 of 3146"
"Santa Rosa County, Florida",12113,16.9,28446,"493 of 3146"
"Platte County, Nebraska",31141,16.9,5540,"492 of 3146"
"Marathon County, Wisconsin",55073,16.9,22614,"491 of 3146"
"Boone County, Illinois",17007,16.9,8968,"490 of 3146"
"Floyd County, Indiana",18043,16.9,12799,"489 of 3146"
"Jo Daviess County, Illinois",17085,16.9,3615,"488 of 3146"
"Ketchikan Gateway Borough, Alaska",02130,16.9,2302,"487 of 3146"
"Ada County, Idaho",16001,16.9,75546,"486 of 3146"
"Henry County, Georgia",13151,16.9,37816,"485 of 3146"
"Sweetwater County, Wyoming",56037,16.9,7255,"484 of 3146"
"Holt County, Nebraska",31089,16.9,1688,"483 of 3146"
"Laramie County, Wyoming",56021,16.9,16212,"482 of 3146"
"Gillespie County, Texas",48171,16.9,4400,"481 of 3146"
"York County, Pennsylvania",42133,16.9,73525,"480 of 3146"
"Montgomery County, Texas",48339,16.9,95845,"479 of 3146"
"Suffolk City, Virginia",51800,16.8,15056,"478 of 3146"
"Carroll County, New Hampshire",33003,16.8,7998,"477 of 3146"
"Currituck County, North Carolina",37053,16.8,4399,"476 of 3146"
"Traverse County, Minnesota",27155,16.8,541,"475 of 3146"
"Dickinson County, Iowa",19059,16.8,2832,"474 of 3146"
"Hennepin County, Minnesota",27053,16.7,205003,"473 of 3146"
"Essex County, Massachusetts",25009,16.7,128406,"472 of 3146"
"Ascension Parish, Louisiana",22005,16.7,20420,"471 of 3146"
"Howard County, Nebraska",31093,16.7,1068,"470 of 3146"
"Clermont County, Ohio",39025,16.7,33839,"469 of 3146"
"Coweta County, Georgia",13077,16.7,23757,"468 of 3146"
"Chickasaw County, Iowa",19037,16.7,1978,"467 of 3146"
"Solano County, California",06095,16.7,71916,"466 of 3146"
"Salem City, Virginia",51775,16.7,3788,"465 of 3146"
"Brown County, South Dakota",46013,16.7,6298,"464 of 3146"
"Greeley County, Nebraska",31077,16.7,391,"463 of 3146"
"Eaton County, Michigan",26045,16.6,17920,"462 of 3146"
"Whitley County, Indiana",18183,16.6,5538,"461 of 3146"
"Cobb County, Georgia",13067,16.6,123094,"460 of 3146"
"Teton County, Idaho",16081,16.6,1897,"459 of 3146"
"Mercer County, Illinois",17131,16.6,2556,"458 of 3146"
"San Juan County, Washington",53055,16.6,2754,"457 of 3146"
"Eureka County, Nevada",32011,16.6,308,"456 of 3146"
"Matanuska-Susitna Borough, Alaska",02170,16.6,17145,"455 of 3146"
"Ventura County, California",06111,16.6,138713,"454 of 3146"
"Pierce County, Washington",53053,16.6,142689,"453 of 3146"
"McCook County, South Dakota",46087,16.6,893,"452 of 3146"
"Westmoreland County, Pennsylvania",42129,16.6,57294,"451 of 3146"
"Oneida County, Wisconsin",55085,16.6,5748,"450 of 3146"
"Granite County, Montana",30039,16.6,537,"449 of 3146"
"Spink County, South Dakota",46115,16.6,1049,"448 of 3146"
"Pike County, Pennsylvania",42103,16.5,9100,"447 of 3146"
"Nicollet County, Minnesota",27103,16.5,5225,"446 of 3146"
"Delaware County, Iowa",19055,16.5,2809,"445 of 3146"
"Henderson County, Illinois",17071,16.5,1115,"444 of 3146"
"Natrona County, Wyoming",56025,16.5,12913,"443 of 3146"
"Bailey County, Texas",48017,16.5,1111,"442 of 3146"
"Sumner County, Tennessee",47165,16.5,29872,"441 of 3146"
"Phelps County, Nebraska",31137,16.5,1448,"440 of 3146"
"York County, Nebraska",31185,16.4,2092,"439 of 3146"
"Worcester County, Maryland",24047,16.4,8368,"438 of 3146"
"Trego County, Kansas",20195,16.4,452,"437 of 3146"
"Madison County, Ohio",39097,16.4,6328,"436 of 3146"
"Washington County, Pennsylvania",42125,16.4,33089,"435 of 3146"
"Logan County, North Dakota",38047,16.4,294,"434 of 3146"
"Dane County, Wisconsin",55025,16.4,85451,"433 of 3146"
"Wilson County, Texas",48493,16.4,7931,"432 of 3146"
"Comanche County, Kansas",20033,16.4,272,"431 of 3146"
"Rock County, Minnesota",27133,16.3,1495,"430 of 3146"
"Oconto County, Wisconsin",55083,16.3,6073,"429 of 3146"
"New London County, Connecticut",09011,16.3,41680,"428 of 3146"
"Nelson County, Kentucky",21179,16.3,7339,"427 of 3146"
"Isle of Wight County, Virginia",51093,16.3,5914,"426 of 3146"
"Jefferson County, Missouri",29099,16.3,36024,"425 of 3146"
"Sarasota County, Florida",12115,16.3,67307,"424 of 3146"
"Tazewell County, Illinois",17179,16.3,21150,"423 of 3146"
"Fairfield County, Ohio",39045,16.3,24614,"422 of 3146"
"Manassas City, Virginia",51683,16.3,6671,"421 of 3146"
"Mills County, Iowa",19129,16.3,2408,"420 of 3146"
"La Plata County, Colorado",08067,16.3,8740,"419 of 3146"
"Guadalupe County, Texas",48187,16.2,25494,"418 of 3146"
"Carroll County, Iowa",19027,16.2,3232,"417 of 3146"
"Trempealeau County, Wisconsin",55121,16.2,4701,"416 of 3146"
"Orange County, Virginia",51137,16.2,5705,"415 of 3146"
"Hinsdale County, Colorado",08053,16.2,139,"414 of 3146"
"Jefferson County, Idaho",16051,16.2,4618,"413 of 3146"
"Dixon County, Nebraska",31051,16.2,912,"412 of 3146"
"Cavalier County, North Dakota",38019,16.2,598,"411 of 3146"
"Sagadahoc County, Maine",23023,16.2,5684,"410 of 3146"
"Jersey County, Illinois",17083,16.2,3393,"409 of 3146"
"Kane County, Illinois",17089,16.2,84971,"408 of 3146"
"Bottineau County, North Dakota",38009,16.2,997,"407 of 3146"
"Salt Lake County, Utah",49035,16.2,180890,"406 of 3146"
"Fillmore County, Nebraska",31059,16.2,859,"405 of 3146"
"McMullen County, Texas",48311,16.1,125,"404 of 3146"
"DeSoto County, Mississippi",28033,16.1,28627,"403 of 3146"
"Nemaha County, Kansas",20131,16.1,1581,"402 of 3146"
"Lac qui Parle County, Minnesota",27073,16.1,1060,"401 of 3146"
"Franklin County, Vermont",50011,16.1,7838,"400 of 3146"
"San Francisco County, California",06075,16.1,138726,"399 of 3146"
"Elko County, Nevada",32007,16.1,8283,"398 of 3146"
"Ontario County, New York",36069,16.1,17071,"397 of 3146"
"Meeker County, Minnesota",27093,16.1,3643,"396 of 3146"
"Bullitt County, Kentucky",21029,16.0,12738,"395 of 3146"
"Warren County, New York",36113,16.0,10142,"394 of 3146"
"Cheshire County, New Hampshire",33005,16.0,11438,"393 of 3146"
"Worcester County, Massachusetts",25027,16.0,127595,"392 of 3146"
"St. Louis County, Missouri",29189,16.0,156330,"391 of 3146"
"Cass County, Missouri",29037,16.0,16366,"390 of 3146"
"Dodge County, Wisconsin",55027,16.0,13364,"389 of 3146"
"Paulding County, Georgia",13223,16.0,25411,"388 of 3146"
"Jefferson County, West Virginia",54037,16.0,8785,"387 of 3146"
"Fond du Lac County, Wisconsin",55039,16.0,15883,"386 of 3146"
"Clark County, Washington",53011,16.0,74938,"385 of 3146"
"Delaware County, Pennsylvania",42045,16.0,86949,"384 of 3146"
"Shelby County, Iowa",19165,16.0,1819,"383 of 3146"
"Fulton County, Ohio",39051,16.0,6645,"382 of 3146"
"Ransom County, North Dakota",38073,15.9,822,"381 of 3146"
"Porter County, Indiana",18127,15.9,26204,"380 of 3146"
"Warren County, Virginia",51187,15.9,6149,"379 of 3146"
"McCone County, Montana",30055,15.9,278,"378 of 3146"
"Adams County, North Dakota",38001,15.9,357,"377 of 3146"
"Culpeper County, Virginia",51047,15.9,7844,"376 of 3146"
"Tooele County, Utah",49045,15.9,10622,"375 of 3146"
"Pottawatomie County, Kansas",20149,15.9,3734,"374 of 3146"
"Foster County, North Dakota",38031,15.9,504,"373 of 3146"
"Jones County, South Dakota",46075,15.9,126,"372 of 3146"
"Sanborn County, South Dakota",46111,15.9,369,"371 of 3146"
"McClain County, Oklahoma",40087,15.8,6167,"370 of 3146"
"Deuel County, South Dakota",46039,15.8,672,"369 of 3146"
"Madison County, Montana",30057,15.8,1296,"368 of 3146"
"Sitka Borough, Alaska",02220,15.8,1329,"367 of 3146"
"Augusta County, Virginia",51015,15.7,11145,"366 of 3146"
"Clinton County, Missouri",29049,15.7,3127,"365 of 3146"
"Routt County, Colorado",08107,15.7,3899,"364 of 3146"
"Jefferson County, Montana",30043,15.7,1843,"363 of 3146"
"Carson County, Texas",48065,15.7,930,"362 of 3146"
"Polk County, Nebraska",31143,15.7,804,"361 of 3146"
"Sonoma County, California",06097,15.6,77025,"360 of 3146"
"Hodgeman County, Kansas",20083,15.6,286,"359 of 3146"
"Lake County, Minnesota",27075,15.6,1619,"358 of 3146"
"Sweet Grass County, Montana",30097,15.6,568,"357 of 3146"
"Bedford City and County, Virginia",51917,15.6,12148,"356 of 3146"
"Alexandria City, Virginia",51510,15.6,24404,"355 of 3146"
"Sibley County, Minnesota",27143,15.6,2302,"354 of 3146"
"Nassau County, Florida",12089,15.6,12840,"353 of 3146"
"Saline County, Arkansas",05125,15.6,18386,"352 of 3146"
"Daniels County, Montana",30019,15.6,266,"351 of 3146"
"Seward County, Nebraska",31159,15.6,2446,"350 of 3146"
"Goodhue County, Minnesota",27049,15.6,7060,"349 of 3146"
"Clinton County, Illinois",17027,15.6,5525,"348 of 3146"
"Strafford County, New Hampshire",33017,15.6,18598,"347 of 3146"
"Worth County, Iowa",19195,15.5,1129,"346 of 3146"
"Murray County, Minnesota",27101,15.5,1264,"345 of 3146"
"Canadian County, Oklahoma",40017,15.5,21447,"344 of 3146"
"Crook County, Wyoming",56011,15.5,1145,"343 of 3146"
"Garfield County, Colorado",08045,15.5,9017,"342 of 3146"
"Kauai County, Hawaii",15007,15.5,11001,"341 of 3146"
"Wake County, North Carolina",37183,15.5,162077,"340 of 3146"
"Franklin County, Texas",48159,15.5,1640,"339 of 3146"
"Palo Alto County, Iowa",19147,15.4,1338,"338 of 3146"
"Effingham County, Georgia",13103,15.4,9238,"337 of 3146"
"Iowa County, Iowa",19095,15.4,2450,"336 of 3146"
"Buchanan County, Iowa",19019,15.4,3214,"335 of 3146"
"Midland County, Texas",48329,15.3,25488,"334 of 3146"
"Stark County, North Dakota",38089,15.3,4656,"333 of 3146"
"Douglas County, Minnesota",27041,15.3,5677,"332 of 3146"
"Alameda County, California",06001,15.3,249849,"331 of 3146"
"Ida County, Iowa",19093,15.3,1032,"330 of 3146"
"Loving County, Texas",48301,15.3,15,"329 of 3146"
"Mercer County, Ohio",39107,15.3,6167,"328 of 3146"
"Iowa County, Wisconsin",55049,15.2,3557,"327 of 3146"
"Union County, North Carolina",37179,15.2,34713,"326 of 3146"
"Clinton County, Michigan",26037,15.2,11802,"325 of 3146"
