Demographic Data Report by State
"Insurance: Percent insured in demographic group, all income levels"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2019 Small Area Health Insurance Estimates Data
Sorted by Value

State, FIPS,Value (Percent),People (Insured),Rank within US
"Madera County, California",06039,89.0,111958,"1562 of 3139"
"Mineral County, Colorado",08079,89.0,451,"1562 of 3139"
"Minnehaha County, South Dakota",46099,89.0,144828,"1562 of 3139"
"Rush County, Indiana",18139,89.0,11852,"1562 of 3139"
"Watonwan County, Minnesota",27165,89.0,7548,"1562 of 3139"
"Anchorage Borough, Alaska",02020,88.9,221770,"1579 of 3139"
"Baker County, Florida",12003,88.9,19933,"1579 of 3139"
"Benson County, North Dakota",38005,88.9,5097,"1579 of 3139"
"Benton County, Arkansas",05007,88.9,214607,"1579 of 3139"
"Bullock County, Alabama",01011,88.9,6023,"1579 of 3139"
"Cherokee County, Kansas",20021,88.9,14015,"1579 of 3139"
"Conejos County, Colorado",08021,88.9,5651,"1579 of 3139"
"Culpeper County, Virginia",51047,88.9,37994,"1579 of 3139"
"Dallas County, Alabama",01047,88.9,26105,"1579 of 3139"
"Daniels County, Montana",30019,88.9,1073,"1579 of 3139"
"Frontier County, Nebraska",31063,88.9,1653,"1579 of 3139"
"Harlan County, Nebraska",31083,88.9,2164,"1579 of 3139"
"Juab County, Utah",49023,88.9,9247,"1579 of 3139"
"Logan County, Nebraska",31113,88.9,510,"1579 of 3139"
"Los Angeles County, California",06037,88.9,7524268,"1579 of 3139"
"Marengo County, Alabama",01091,88.9,13251,"1579 of 3139"
"Marion County, Missouri",29127,88.9,19886,"1579 of 3139"
"Miami County, Indiana",18103,88.9,22908,"1579 of 3139"
"Montgomery County, Indiana",18107,88.9,26893,"1579 of 3139"
"Northumberland County, Virginia",51133,88.9,6654,"1579 of 3139"
"Richland Parish, Louisiana",22083,88.9,13825,"1579 of 3139"
"Roanoke City, Virginia",51770,88.9,71554,"1579 of 3139"
"St. Mary Parish, Louisiana",22101,88.9,35654,"1579 of 3139"
"Stanley County, South Dakota",46117,88.9,2213,"1579 of 3139"
"Trego County, Kansas",20195,88.9,1786,"1579 of 3139"
"Yankton County, South Dakota",46135,88.9,14812,"1579 of 3139"
"Ashley County, Arkansas",05003,88.8,13569,"1605 of 3139"
"Burt County, Nebraska",31021,88.8,4297,"1605 of 3139"
"Cabarrus County, North Carolina",37025,88.8,165888,"1605 of 3139"
"Camden County, North Carolina",37029,88.8,8026,"1605 of 3139"
"Crawford County, Arkansas",05033,88.8,46177,"1605 of 3139"
"Custer County, Nebraska",31041,88.8,7299,"1605 of 3139"
"Grand County, Colorado",08049,88.8,11325,"1605 of 3139"
"Jackson County, Indiana",18071,88.8,32374,"1605 of 3139"
"Jay County, Indiana",18075,88.8,14563,"1605 of 3139"
"Jefferson County, Missouri",29099,88.8,167980,"1605 of 3139"
"Lancaster County, Pennsylvania",42071,88.8,387805,"1605 of 3139"
"Logan County, Colorado",08075,88.8,12865,"1605 of 3139"
"Madison County, Nebraska",31119,88.8,25264,"1605 of 3139"
"Madison County, Virginia",51113,88.8,9018,"1605 of 3139"
"Osage County, Missouri",29151,88.8,9704,"1605 of 3139"
"Perry County, Missouri",29157,88.8,13629,"1605 of 3139"
"Talladega County, Alabama",01121,88.8,55213,"1605 of 3139"
"Valley County, Nebraska",31175,88.8,2710,"1605 of 3139"
"Wheeler County, Oregon",41069,88.8,728,"1605 of 3139"
"Chaffee County, Colorado",08015,88.7,12111,"1624 of 3139"
"Coosa County, Alabama",01037,88.7,7005,"1624 of 3139"
"Essex County, Virginia",51057,88.7,7315,"1624 of 3139"
"Fairbanks North Star, Alaska",02090,88.7,72894,"1624 of 3139"
"Fayette County, Georgia",13113,88.7,82985,"1624 of 3139"
"Fayette County, Tennessee",47047,88.7,28188,"1624 of 3139"
"Grant County, Nebraska",31075,88.7,426,"1624 of 3139"
"Greenwood County, Kansas",20073,88.7,3882,"1624 of 3139"
"Hooker County, Nebraska",31091,88.7,416,"1624 of 3139"
"La Plata County, Colorado",08067,88.7,39159,"1624 of 3139"
"Madison County, Tennessee",47113,88.7,67853,"1624 of 3139"
"Maury County, Tennessee",47119,88.7,71051,"1624 of 3139"
"Norton County, Kansas",20137,88.7,3079,"1624 of 3139"
"Oceana County, Michigan",26127,88.7,18172,"1624 of 3139"
"Orange County, Indiana",18117,88.7,13753,"1624 of 3139"
"Otero County, New Mexico",35035,88.7,47371,"1624 of 3139"
"Page County, Virginia",51139,88.7,16353,"1624 of 3139"
"Plaquemines Parish, Louisiana",22075,88.7,17529,"1624 of 3139"
"Prince William County, Virginia",51153,88.7,371850,"1624 of 3139"
"Ralls County, Missouri",29173,88.7,7096,"1624 of 3139"
"Richland County, South Carolina",45079,88.7,294312,"1624 of 3139"
"Rush County, Kansas",20165,88.7,1990,"1624 of 3139"
"Russell County, Alabama",01113,88.7,43117,"1624 of 3139"
"Slope County, North Dakota",38087,88.7,503,"1624 of 3139"
"Union County, North Carolina",37179,88.7,184249,"1624 of 3139"
"Wise County, Virginia",51195,88.7,24365,"1624 of 3139"
"Callaway County, Missouri",29027,88.6,29931,"1650 of 3139"
"Camas County, Idaho",16025,88.6,740,"1650 of 3139"
"Douglas County, Nevada",32005,88.6,30448,"1650 of 3139"
"Edmunds County, South Dakota",46045,88.6,2639,"1650 of 3139"
"Fallon County, Montana",30025,88.6,2093,"1650 of 3139"
"Fergus County, Montana",30027,88.6,7127,"1650 of 3139"
"Grant County, South Dakota",46051,88.6,4881,"1650 of 3139"
"Hancock County, Maine",23009,88.6,35832,"1650 of 3139"
"Henry County, Virginia",51089,88.6,33050,"1650 of 3139"
"Iberia Parish, Louisiana",22045,88.6,51310,"1650 of 3139"
"Juneau Borough, Alaska",02110,88.6,23869,"1650 of 3139"
"Juniata County, Pennsylvania",42067,88.6,17270,"1650 of 3139"
"Lafayette County, Missouri",29107,88.6,23137,"1650 of 3139"
"Loving County, Texas",48301,88.6,132,"1650 of 3139"
"Merced County, California",06047,88.6,208796,"1650 of 3139"
"Morris County, Kansas",20127,88.6,3725,"1650 of 3139"
"Otero County, Colorado",08089,88.6,12214,"1650 of 3139"
"Oxford County, Maine",23017,88.6,39076,"1650 of 3139"
"Perkins County, Nebraska",31135,88.6,1945,"1650 of 3139"
"Pittsylvania County, Virginia",51143,88.6,39846,"1650 of 3139"
"Salt Lake County, Utah",49035,88.6,904037,"1650 of 3139"
"Searcy County, Arkansas",05129,88.6,5077,"1650 of 3139"
"Seminole County, Florida",12117,88.6,351143,"1650 of 3139"
"Waldo County, Maine",23027,88.6,26326,"1650 of 3139"
"Wayne County, Indiana",18177,88.6,45097,"1650 of 3139"
"Benton County, Indiana",18007,88.5,6283,"1675 of 3139"
"Campbell County, South Dakota",46021,88.5,862,"1675 of 3139"
"Chase County, Kansas",20017,88.5,1623,"1675 of 3139"
"Clark County, Kansas",20025,88.5,1373,"1675 of 3139"
"Cochise County, Arizona",04003,88.5,81385,"1675 of 3139"
"Crawford County, Iowa",19047,88.5,12062,"1675 of 3139"
"Delta County, Colorado",08029,88.5,19349,"1675 of 3139"
"Denali, Alaska",02068,88.5,1583,"1675 of 3139"
"Dunn County, North Dakota",38025,88.5,3290,"1675 of 3139"
"Dyer County, Tennessee",47045,88.5,26430,"1675 of 3139"
"Ferry County, Washington",53019,88.5,4740,"1675 of 3139"
"Hitchcock County, Nebraska",31087,88.5,1773,"1675 of 3139"
"Jackson County, Kansas",20085,88.5,9297,"1675 of 3139"
"Knox County, Maine",23013,88.5,24881,"1675 of 3139"
"Lincoln Parish, Louisiana",22061,88.5,31442,"1675 of 3139"
"McNairy County, Tennessee",47109,88.5,17593,"1675 of 3139"
"Middlesex County, Virginia",51119,88.5,6115,"1675 of 3139"
"Modoc County, California",06049,88.5,5457,"1675 of 3139"
"Potter County, South Dakota",46107,88.5,1352,"1675 of 3139"
"Powell County, Montana",30077,88.5,3361,"1675 of 3139"
"Rockingham County, Virginia",51165,88.5,56986,"1675 of 3139"
"Scotts Bluff County, Nebraska",31157,88.5,24752,"1675 of 3139"
"Warren County, Missouri",29219,88.5,25678,"1675 of 3139"
"Wasatch County, Utah",49051,88.5,26365,"1675 of 3139"
"Weakley County, Tennessee",47183,88.5,22565,"1675 of 3139"
"Wilson County, Kansas",20205,88.5,5772,"1675 of 3139"
"Amelia County, Virginia",51007,88.4,9235,"1701 of 3139"
"Blount County, Tennessee",47009,88.4,92406,"1701 of 3139"
"Butler County, Alabama",01013,88.4,13410,"1701 of 3139"
"Caldwell Parish, Louisiana",22021,88.4,6700,"1701 of 3139"
"Cape Girardeau County, Missouri",29031,88.4,55025,"1701 of 3139"
"DeKalb County, Missouri",29063,88.4,6362,"1701 of 3139"
"Douglas County, Washington",53017,88.4,30895,"1701 of 3139"
"Emmons County, North Dakota",38029,88.4,2043,"1701 of 3139"
"Grayson County, Virginia",51077,88.4,9380,"1701 of 3139"
"Greene County, Alabama",01063,88.4,5370,"1701 of 3139"
"Hale County, Alabama",01065,88.4,10191,"1701 of 3139"
"La Salle Parish, Louisiana",22059,88.4,9920,"1701 of 3139"
"Lafayette County, Wisconsin",55065,88.4,11728,"1701 of 3139"
"Limestone County, Alabama",01083,88.4,71995,"1701 of 3139"
"Pratt County, Kansas",20151,88.4,6118,"1701 of 3139"
"Randolph County, Arkansas",05121,88.4,12486,"1701 of 3139"
"Rice County, Kansas",20159,88.4,6246,"1701 of 3139"
"Robertson County, Tennessee",47147,88.4,53218,"1701 of 3139"
"Rooks County, Kansas",20163,88.4,3296,"1701 of 3139"
"St. Helena Parish, Louisiana",22091,88.4,6996,"1701 of 3139"
"Wasco County, Oregon",41065,88.4,18193,"1701 of 3139"
"Wilcox County, Alabama",01131,88.4,7135,"1701 of 3139"
"York County, South Carolina",45091,88.4,210587,"1701 of 3139"
"Barnwell County, South Carolina",45011,88.3,14524,"1724 of 3139"
"Carbon County, Montana",30009,88.3,6904,"1724 of 3139"
"Cheatham County, Tennessee",47021,88.3,30244,"1724 of 3139"
"Clinton County, Missouri",29049,88.3,14657,"1724 of 3139"
"Crawford County, Kansas",20037,88.3,27434,"1724 of 3139"
"Dickson County, Tennessee",47043,88.3,39278,"1724 of 3139"
"Dorchester County, South Carolina",45035,88.3,121667,"1724 of 3139"
"Franklin County, Tennessee",47051,88.3,27819,"1724 of 3139"
"Fulton County, Arkansas",05049,88.3,8035,"1724 of 3139"
"Gibson County, Tennessee",47053,88.3,34703,"1724 of 3139"
"Hawkins County, Tennessee",47073,88.3,38630,"1724 of 3139"
"Hettinger County, North Dakota",38041,88.3,1608,"1724 of 3139"
"Lee County, Georgia",13177,88.3,22384,"1724 of 3139"
"Lincoln County, Missouri",29113,88.3,44648,"1724 of 3139"
"Montgomery County, Alabama",01101,88.3,159809,"1724 of 3139"
"Patrick County, Virginia",51141,88.3,11144,"1724 of 3139"
"Penobscot County, Maine",23019,88.3,102767,"1724 of 3139"
"Pondera County, Montana",30073,88.3,4066,"1724 of 3139"
"Randolph County, Indiana",18135,88.3,16982,"1724 of 3139"
"Sheridan County, Montana",30091,88.3,2224,"1724 of 3139"
"Smith County, Kansas",20183,88.3,2258,"1724 of 3139"
"Teton County, Montana",30099,88.3,4115,"1724 of 3139"
"Umatilla County, Oregon",41059,88.3,53452,"1724 of 3139"
"Chelan County, Washington",53007,88.2,53641,"1747 of 3139"
"Chowan County, North Carolina",37041,88.2,9035,"1747 of 3139"
"Clinton County, Indiana",18023,88.2,23351,"1747 of 3139"
"Cuming County, Nebraska",31039,88.2,6020,"1747 of 3139"
"DeSoto County, Mississippi",28033,88.2,141381,"1747 of 3139"
"Franklin County, Missouri",29071,88.2,74785,"1747 of 3139"
"Gates County, North Carolina",37073,88.2,8016,"1747 of 3139"
"Graham County, Arizona",04009,88.2,26779,"1747 of 3139"
"Hancock County, Tennessee",47067,88.2,4370,"1747 of 3139"
"Humphreys County, Tennessee",47085,88.2,12793,"1747 of 3139"
"Lancaster County, Virginia",51103,88.2,5836,"1747 of 3139"
"Laramie County, Wyoming",56021,88.2,71806,"1747 of 3139"
"Lincoln County, Nevada",32017,88.2,3164,"1747 of 3139"
"Marion County, Kansas",20115,88.2,7526,"1747 of 3139"
"Marshall County, Tennessee",47117,88.2,25068,"1747 of 3139"
"McDowell County, West Virginia",54047,88.2,11762,"1747 of 3139"
"Nassau County, Florida",12089,88.2,60380,"1747 of 3139"
"Pawnee County, Nebraska",31133,88.2,1618,"1747 of 3139"
"Republic County, Kansas",20157,88.2,2918,"1747 of 3139"
"Richmond City, Virginia",51760,88.2,163909,"1747 of 3139"
"Sanborn County, South Dakota",46111,88.2,1628,"1747 of 3139"
"Sevier County, Utah",49041,88.2,15568,"1747 of 3139"
"Spink County, South Dakota",46115,88.2,4280,"1747 of 3139"
"Appomattox County, Virginia",51011,88.1,10961,"1770 of 3139"
"Buckingham County, Virginia",51029,88.1,10116,"1770 of 3139"
"Calhoun County, Alabama",01015,88.1,79683,"1770 of 3139"
"Cleveland County, Oklahoma",40027,88.1,208550,"1770 of 3139"
"Coffee County, Tennessee",47031,88.1,40567,"1770 of 3139"
"Franklin Parish, Louisiana",22041,88.1,13882,"1770 of 3139"
"Lake County, Tennessee",47095,88.1,3298,"1770 of 3139"
"Lamar County, Alabama",01075,88.1,9348,"1770 of 3139"
"Lancaster County, South Carolina",45057,88.1,66405,"1770 of 3139"
"Lauderdale County, Alabama",01077,88.1,63283,"1770 of 3139"
"Lawrence County, South Dakota",46081,88.1,16878,"1770 of 3139"
"Leon County, Florida",12073,88.1,210392,"1770 of 3139"
"Miner County, South Dakota",46097,88.1,1526,"1770 of 3139"
"Monterey County, California",06053,88.1,311846,"1770 of 3139"
"Pope County, Arkansas",05115,88.1,44517,"1770 of 3139"
"Sharp County, Arkansas",05135,88.1,11108,"1770 of 3139"
"Sierra County, New Mexico",35051,88.1,5762,"1770 of 3139"
"Washington County, Tennessee",47179,88.1,89591,"1770 of 3139"
"Christian County, Missouri",29043,88.0,65105,"1788 of 3139"
"Clarke County, Alabama",01025,88.0,16276,"1788 of 3139"
"Dale County, Alabama",01045,88.0,34939,"1788 of 3139"
"Essex County, New Jersey",34013,88.0,587860,"1788 of 3139"
"Fayette County, Alabama",01057,88.0,11063,"1788 of 3139"
"Garland County, Arkansas",05051,88.0,65084,"1788 of 3139"
"Hamilton County, Tennessee",47065,88.0,259424,"1788 of 3139"
"Haywood County, Tennessee",47075,88.0,11830,"1788 of 3139"
"Lafayette County, Arkansas",05073,88.0,4272,"1788 of 3139"
"Lewis County, Tennessee",47101,88.0,8348,"1788 of 3139"
"Linn County, Kansas",20107,88.0,6498,"1788 of 3139"
"McCormick County, South Carolina",45065,88.0,4475,"1788 of 3139"
"Mecklenburg County, Virginia",51117,88.0,19230,"1788 of 3139"
"Moore County, North Carolina",37125,88.0,67377,"1788 of 3139"
"Pitt County, North Carolina",37147,88.0,131290,"1788 of 3139"
"Prairie County, Montana",30079,88.0,630,"1788 of 3139"
"Russell County, Kansas",20167,88.0,4471,"1788 of 3139"
"Santa Barbara County, California",06083,88.0,314580,"1788 of 3139"
"Santa Rosa County, Florida",12113,88.0,131296,"1788 of 3139"
"Scott County, Tennessee",47151,88.0,15671,"1788 of 3139"
"Van Buren County, Arkansas",05141,88.0,10525,"1788 of 3139"
"Wayne County, Ohio",39169,88.0,80569,"1788 of 3139"
"West Carroll Parish, Louisiana",22123,88.0,7303,"1788 of 3139"
"Anderson County, Tennessee",47001,87.9,53234,"1811 of 3139"
"Bannock County, Idaho",16005,87.9,63939,"1811 of 3139"
"Boise County, Idaho",16015,87.9,5045,"1811 of 3139"
"Cooper County, Missouri",29053,87.9,11457,"1811 of 3139"
"Cumberland County, New Jersey",34011,87.9,102218,"1811 of 3139"
"Edgecombe County, North Carolina",37065,87.9,34922,"1811 of 3139"
"Fairfield County, South Carolina",45039,87.9,14813,"1811 of 3139"
"Floyd County, Virginia",51063,87.9,10514,"1811 of 3139"
"Franklin County, Maine",23007,87.9,19486,"1811 of 3139"
"Louisa County, Virginia",51109,87.9,26197,"1811 of 3139"
"Perry County, Alabama",01105,87.9,5621,"1811 of 3139"
"Pulaski County, Missouri",29169,87.9,33133,"1811 of 3139"
"Smith County, Tennessee",47159,87.9,14448,"1811 of 3139"
"Somerset County, Maine",23025,87.9,34040,"1811 of 3139"
"Sullivan County, Tennessee",47163,87.9,106373,"1811 of 3139"
"Summit County, Colorado",08117,87.9,23276,"1811 of 3139"
"Tallapoosa County, Alabama",01123,87.9,27198,"1811 of 3139"
"Berkeley County, South Carolina",45015,87.8,168333,"1828 of 3139"
"Brown County, South Dakota",46013,87.8,27262,"1828 of 3139"
"Buchanan County, Virginia",51027,87.8,13266,"1828 of 3139"
"Carroll County, Virginia",51035,87.8,19344,"1828 of 3139"
"Chambers County, Alabama",01017,87.8,22948,"1828 of 3139"
"Choctaw County, Alabama",01023,87.8,8345,"1828 of 3139"
"Claiborne County, Tennessee",47025,87.8,21155,"1828 of 3139"
"Columbia County, Georgia",13073,87.8,118833,"1828 of 3139"
"Colusa County, California",06011,87.8,15768,"1828 of 3139"
"Conecuh County, Alabama",01035,87.8,7967,"1828 of 3139"
"Hardin County, Tennessee",47071,87.8,17042,"1828 of 3139"
"Henry County, Georgia",13151,87.8,180718,"1828 of 3139"
"Hinsdale County, Colorado",08053,87.8,490,"1828 of 3139"
"Jefferson County, Oregon",41031,87.8,16183,"1828 of 3139"
"Jewell County, Kansas",20089,87.8,1734,"1828 of 3139"
"Liberty County, Georgia",13179,87.8,47131,"1828 of 3139"
"Malheur County, Oregon",41045,87.8,18952,"1828 of 3139"
"Marion County, Tennessee",47115,87.8,19974,"1828 of 3139"
"Morrow County, Oregon",41049,87.8,8300,"1828 of 3139"
"New Hanover County, North Carolina",37129,87.8,161932,"1828 of 3139"
"Nez Perce County, Idaho",16069,87.8,27824,"1828 of 3139"
"Pasquotank County, North Carolina",37139,87.8,27132,"1828 of 3139"
"Rappahannock County, Virginia",51157,87.8,4638,"1828 of 3139"
"Ray County, Missouri",29177,87.8,16251,"1828 of 3139"
"Reno County, Kansas",20155,87.8,40936,"1828 of 3139"
"San Juan County, Colorado",08111,87.8,467,"1828 of 3139"
"Scott County, Arkansas",05127,87.8,6984,"1828 of 3139"
"Torrance County, New Mexico",35057,87.8,10006,"1828 of 3139"
"Adams County, Colorado",08001,87.7,398764,"1856 of 3139"
"Borden County, Texas",48033,87.7,429,"1856 of 3139"
"Canadian County, Oklahoma",40017,87.7,111842,"1856 of 3139"
"DeBaca County, New Mexico",35011,87.7,1078,"1856 of 3139"
"Deuel County, South Dakota",46039,87.7,2951,"1856 of 3139"
"Furnas County, Nebraska",31065,87.7,3023,"1856 of 3139"
"Hardeman County, Tennessee",47069,87.7,14476,"1856 of 3139"
"Iron County, Utah",49021,87.7,40422,"1856 of 3139"
"Johnson County, Missouri",29101,87.7,38409,"1856 of 3139"
"Kershaw County, South Carolina",45055,87.7,47052,"1856 of 3139"
"Kimball County, Nebraska",31105,87.7,2362,"1856 of 3139"
"King and Queen County, Virginia",51097,87.7,4667,"1856 of 3139"
"LaFourche Parish, Louisiana",22057,87.7,70618,"1856 of 3139"
"Lee County, South Carolina",45061,87.7,10421,"1856 of 3139"
"Marion County, Alabama",01093,87.7,20024,"1856 of 3139"
"Marion County, Indiana",18097,87.7,716454,"1856 of 3139"
"McCook County, South Dakota",46087,87.7,3928,"1856 of 3139"
"Randolph County, Alabama",01111,87.7,15472,"1856 of 3139"
"Rock County, Nebraska",31149,87.7,863,"1856 of 3139"
"San Miguel County, Colorado",08113,87.7,6037,"1856 of 3139"
"Sedgwick County, Kansas",20173,87.7,378404,"1856 of 3139"
"Sioux County, North Dakota",38085,87.7,3285,"1856 of 3139"
"Socorro County, New Mexico",35053,87.7,11027,"1856 of 3139"
"Stokes County, North Carolina",37169,87.7,31091,"1856 of 3139"
"Alachua County, Florida",12001,87.6,189668,"1880 of 3139"
"Arthur County, Nebraska",31005,87.6,311,"1880 of 3139"
"Charlotte County, Virginia",51037,87.6,7849,"1880 of 3139"
"Chester County, South Carolina",45023,87.6,22375,"1880 of 3139"
"Chester County, Tennessee",47023,87.6,11555,"1880 of 3139"
"Glenn County, California",06021,87.6,20440,"1880 of 3139"
"Haywood County, North Carolina",37087,87.6,40737,"1880 of 3139"
"Jerauld County, South Dakota",46073,87.6,1263,"1880 of 3139"
"Johnson County, Tennessee",47091,87.6,10416,"1880 of 3139"
"Kootenai County, Idaho",16055,87.6,116450,"1880 of 3139"
"Lexington County, South Carolina",45063,87.6,218477,"1880 of 3139"
"Pickens County, Alabama",01107,87.6,12422,"1880 of 3139"
"Rio Arriba County, New Mexico",35039,87.6,26785,"1880 of 3139"
"Sedgwick County, Colorado",08115,87.6,1400,"1880 of 3139"
"Sheridan County, North Dakota",38083,87.6,753,"1880 of 3139"
"Wakulla County, Florida",12129,87.6,22093,"1880 of 3139"
"Williamson County, Texas",48491,87.6,452412,"1880 of 3139"
"Brunswick County, Virginia",51025,87.5,9131,"1897 of 3139"
"Cannon County, Tennessee",47015,87.5,10349,"1897 of 3139"
"Cibola County, New Mexico",35006,87.5,17113,"1897 of 3139"
"Collin County, Texas",48085,87.5,805489,"1897 of 3139"
"Covington County, Alabama",01039,87.5,25182,"1897 of 3139"
"Coweta County, Georgia",13077,87.5,111328,"1897 of 3139"
"Crawford County, Indiana",18025,87.5,7306,"1897 of 3139"
"Crowley County, Colorado",08025,87.5,1998,"1897 of 3139"
"Cumberland County, North Carolina",37051,87.5,241380,"1897 of 3139"
"Florence County, South Carolina",45041,87.5,97261,"1897 of 3139"
"Hamlin County, South Dakota",46057,87.5,4501,"1897 of 3139"
"Henry County, Alabama",01067,87.5,11401,"1897 of 3139"
"Judith Basin County, Montana",30045,87.5,1255,"1897 of 3139"
"Knox County, Nebraska",31107,87.5,5377,"1897 of 3139"
"Kosciusko County, Indiana",18085,87.5,56451,"1897 of 3139"
"Lander County, Nevada",32015,87.5,4069,"1897 of 3139"
"Lauderdale County, Tennessee",47097,87.5,16602,"1897 of 3139"
"Morgan County, Tennessee",47129,87.5,13218,"1897 of 3139"
"Northampton County, Virginia",51131,87.5,7271,"1897 of 3139"
"Obion County, Tennessee",47131,87.5,20397,"1897 of 3139"
"Parke County, Indiana",18121,87.5,10449,"1897 of 3139"
"Saline County, Nebraska",31151,87.5,9766,"1897 of 3139"
"Sequatchie County, Tennessee",47153,87.5,10225,"1897 of 3139"
"Sherman County, Nebraska",31163,87.5,1864,"1897 of 3139"
"St. Francois County, Missouri",29187,87.5,43309,"1897 of 3139"
"Sumter County, Florida",12119,87.5,41641,"1897 of 3139"
"Sumter County, South Carolina",45085,87.5,74672,"1897 of 3139"
"Switzerland County, Indiana",18155,87.5,7653,"1897 of 3139"
"Union County, Florida",12125,87.5,7315,"1897 of 3139"
"Union County, South Carolina",45087,87.5,18443,"1897 of 3139"
"Washoe County, Nevada",32031,87.5,339673,"1897 of 3139"
"Bertie County, North Carolina",37015,87.4,11415,"1928 of 3139"
"Boyd County, Nebraska",31015,87.4,1146,"1928 of 3139"
"Bryan County, Georgia",13029,87.4,31023,"1928 of 3139"
"Carroll County, Tennessee",47017,87.4,18270,"1928 of 3139"
"Clay County, Florida",12019,87.4,160247,"1928 of 3139"
"Fulton County, Georgia",13121,87.4,793643,"1928 of 3139"
"Fulton County, Indiana",18049,87.4,13804,"1928 of 3139"
"Haines Borough, Alaska",02100,87.4,1742,"1928 of 3139"
"Hempstead County, Arkansas",05057,87.4,15034,"1928 of 3139"
"Labette County, Kansas",20099,87.4,13548,"1928 of 3139"
"McPherson County, Nebraska",31117,87.4,332,"1928 of 3139"
"Mineral County, Nevada",32021,87.4,2897,"1928 of 3139"
"Nash County, North Carolina",37127,87.4,64769,"1928 of 3139"
"Ravalli County, Montana",30081,87.4,27805,"1928 of 3139"
"St. Louis City, Missouri",29510,87.4,215810,"1928 of 3139"
"Stewart County, Tennessee",47161,87.4,9351,"1928 of 3139"
"Todd County, Kentucky",21219,87.4,8790,"1928 of 3139"
"Union County, New Jersey",34039,87.4,410309,"1928 of 3139"
"Valencia County, New Mexico",35061,87.4,53181,"1928 of 3139"
"Aroostook County, Maine",23003,87.3,42569,"1947 of 3139"
"Bamberg County, South Carolina",45009,87.3,8804,"1947 of 3139"
"Catoosa County, Georgia",13047,87.3,48288,"1947 of 3139"
"Currituck County, North Carolina",37053,87.3,20245,"1947 of 3139"
"Custer County, South Dakota",46033,87.3,5203,"1947 of 3139"
"Decatur County, Tennessee",47039,87.3,7603,"1947 of 3139"
"Etowah County, Alabama",01055,87.3,70408,"1947 of 3139"
"Henderson County, Tennessee",47077,87.3,19463,"1947 of 3139"
"Hill County, Montana",30041,87.3,11801,"1947 of 3139"
"Lane County, Kansas",20101,87.3,1006,"1947 of 3139"
"Lewis County, Missouri",29111,87.3,6419,"1947 of 3139"
"Mobile County, Alabama",01097,87.3,294527,"1947 of 3139"
"Nelson County, Virginia",51125,87.3,9297,"1947 of 3139"
"Noble County, Indiana",18113,87.3,34372,"1947 of 3139"
"Owen County, Indiana",18119,87.3,14343,"1947 of 3139"
"Person County, North Carolina",37145,87.3,27230,"1947 of 3139"
"Piscataquis County, Maine",23021,87.3,10375,"1947 of 3139"
"Randolph County, Missouri",29175,87.3,16015,"1947 of 3139"
"Sabine Parish, Louisiana",22085,87.3,16200,"1947 of 3139"
"Van Buren County, Tennessee",47175,87.3,3789,"1947 of 3139"
"White County, Indiana",18181,87.3,16563,"1947 of 3139"
"Winchester City, Virginia",51840,87.3,19460,"1947 of 3139"
"Atchison County, Missouri",29005,87.2,3293,"1969 of 3139"
"Cleburne County, Alabama",01029,87.2,10263,"1969 of 3139"
"Darlington County, South Carolina",45031,87.2,45245,"1969 of 3139"
"Graham County, Kansas",20065,87.2,1534,"1969 of 3139"
"Hall County, Nebraska",31079,87.2,44488,"1969 of 3139"
"Hood River County, Oregon",41027,87.2,16960,"1969 of 3139"
"Iredell County, North Carolina",37097,87.2,132513,"1969 of 3139"
"Matanuska-Susitna Borough, Alaska",02170,87.2,80837,"1969 of 3139"
"Morgan County, Alabama",01103,87.2,84289,"1969 of 3139"
"Perquimans County, North Carolina",37143,87.2,8449,"1969 of 3139"
"Pinal County, Arizona",04021,87.2,296573,"1969 of 3139"
"Terrebonne Parish, Louisiana",22109,87.2,80610,"1969 of 3139"
"Tunica County, Mississippi",28143,87.2,7124,"1969 of 3139"
"Washington County, Kansas",20201,87.2,3545,"1969 of 3139"
"White County, Tennessee",47185,87.2,18547,"1969 of 3139"
"Barton County, Kansas",20009,87.1,17477,"1984 of 3139"
"Bon Homme County, South Dakota",46009,87.1,3651,"1984 of 3139"
"Campbell County, Tennessee",47013,87.1,26764,"1984 of 3139"
"Chaves County, New Mexico",35005,87.1,45568,"1984 of 3139"
"Cocke County, Tennessee",47029,87.1,24010,"1984 of 3139"
"Craven County, North Carolina",37049,87.1,67098,"1984 of 3139"
"Custer County, Colorado",08027,87.1,2794,"1984 of 3139"
"Greeley County, Nebraska",31077,87.1,1518,"1984 of 3139"
"Henry County, Tennessee",47079,87.1,21003,"1984 of 3139"
"Howard County, Missouri",29089,87.1,6428,"1984 of 3139"
"Jefferson Parish, Louisiana",22051,87.1,307368,"1984 of 3139"
"McMinn County, Tennessee",47107,87.1,36634,"1984 of 3139"
"Monroe County, Alabama",01099,87.1,14008,"1984 of 3139"
"Montrose County, Colorado",08085,87.1,27672,"1984 of 3139"
"Nottoway County, Virginia",51135,87.1,8895,"1984 of 3139"
"Nye County, Nevada",32023,87.1,27223,"1984 of 3139"
"Pennington County, South Dakota",46103,87.1,79156,"1984 of 3139"
"Rosebud County, Montana",30087,87.1,6372,"1984 of 3139"
